No,predictor 1,predictor 2,predictor 3,predictor 4,predictor 5,target
76,28474,1072,353,5,2779,0
77,14839,766,300.5,11,2669.5,1
78,6854,1252,465,7,1589.5,0
79,17394,1132,409,3,620.5,0
80,20299,1172,452.5,3,4611.5,0
81,1148,1286,364.5,3,278.5,0
82,29264,858,383,1,4283.5,0
83,11901,1086,338.5,3,3835.5,0
84,3289,898,217.5,7,2839,1
85,8725,1106,,3,1830,0
86,2539,1106,,1,970.5,0
87,14533,1106,,3,3930.5,0
88,2983,1194,385.5,3,2817.5,1
89,4354,1214,,3,3801,0
90,23206,1106,,5,4418.5,0
91,8201,1106,,1,4079.5,0
92,5870,1206,394.5,5,2583.5,0
93,23005,1164,328,11,2591.5,0
94,2695,1266,309,1,1881.5,1
95,13750,1214,339,1,4269.5,0
96,3150,1106,310,1,4742.5,0
97,12870,1384,,1,4609,0
98,23105,1106,,5,4897.5,0
99,17399,1356,432,1,1697.5,0
100,12357,1106,,5,1679,0
101,14915,1106,310,7,2749,0
102,8859,1396,,1,997,0
103,15198,1106,,11,1514,1
104,28479,1184,,3,2143,0
105,20361,1106,,5,751,0
106,26711,1276,449,5,3707.5,0
107,26672,1330,473,7,3895,0
108,28776,1216,404,3,3577.5,1
109,22614,1106,473.5,1,562,0
110,25405,1106,,1,377,0
111,13634,1250,449,3,3511,0
112,6018,1166,432.5,3,2732,1
113,9254,1106,,3,4422,0
114,17266,1450,465,3,4283,0
115,2093,886,261.5,11,4730,1
116,10535,1208,464,3,4101,0
117,22113,1104,418.5,3,1778,0
118,26307,1106,,7,1271.5,1
119,5545,1106,,1,3802.5,0
120,16484,1024,297.5,1,4622.5,1
121,20360,1112,317.5,5,2044.5,0
122,22227,1106,,5,3330,0
123,3613,1116,451,1,3320,1
124,27904,1106,,1,3542,1
125,11880,1106,,3,4408.5,0
126,6348,1250,355.5,9,1283,1
127,24937,1106,475.5,1,647,0
128,15359,1124,325,7,1887,0
129,16331,1254,307.5,3,1546,0
130,23647,1106,404,5,3908.5,0
131,28247,1316,,1,635,0
132,25318,992,417,1,2173.5,0
133,1115,1202,400.5,1,4983.5,0
134,1005,1050,404,7,2625,0
135,26757,1410,343.5,5,4834.5,0
136,21635,1332,357.5,3,1125,0
137,29024,1106,,9,2551,0
138,3781,1106,,1,1717,0
139,27356,1132,479,1,1139.5,0
140,4134,1106,400.5,1,3928,0
141,22857,1016,375.5,3,728.5,0
142,13480,1106,,1,383,0
143,18543,1076,355.5,3,1831,0
144,26940,1132,417.5,1,279,0
145,17877,1136,451,3,4324,0
146,29153,876,310,7,1616.5,0
147,10360,1106,,1,4862.5,1
148,20937,1432,377.5,5,1188,0
149,5418,862,451,7,4460,0
150,22710,1106,438,3,1049,0
151,26074,1310,368.5,3,3240.5,0
152,9989,1070,476,1,4947,0
153,6803,1384,325,5,2896,0
154,9936,1106,423,3,4770,0
155,3350,1276,303.5,7,2855,0
156,6568,1106,406,9,3660.5,0
157,21686,1196,445.5,3,3388.5,0
158,19469,1004,277,3,3715,1
159,17442,1450,403.5,3,3373,0
160,28041,1120,426,1,703,0
161,3865,1106,,1,4228,1
162,6222,1184,271,5,2652.5,1
163,25384,1102,,1,3897.5,0
164,28643,1106,,3,4956,0
165,26857,1324,452.5,3,1266,0
166,27140,1168,442,3,4707.5,0
167,24774,1008,300.5,19,3360,1
168,19972,1222,447,3,2367.5,0
169,4488,1106,452.5,1,2943,0
170,13326,1422,465,3,3767.5,0
171,21064,1168,430,9,841.5,1
172,9288,1106,427,3,4573.5,0
173,13986,864,232.5,3,3258.5,1
174,21431,1054,400.5,1,1546,0
175,15785,836,351,3,2682,0
176,7998,1074,352.5,9,1407,0
177,7428,1034,325,7,2865,1
178,25455,1106,433,1,2482.5,0
179,11490,1106,310,1,1245,0
180,12533,1106,434.5,3,3289.5,0
181,26110,1270,430.5,3,3366.5,0
182,1600,878,316,9,1722.5,0
183,11813,1106,473,3,684,0
184,13872,1260,426,1,2872,0
185,25180,1172,330.5,3,236,1
186,1202,1174,406.5,3,106,0
187,24716,798,303.5,9,1144.5,1
188,15270,1154,219,1,2973.5,1
189,17052,1106,406,1,3661,0
190,9661,1274,288.5,3,3969.5,0
191,20807,1106,,1,3797,0
192,9167,930,304.5,3,1770.5,1
193,21215,1106,469.5,1,3869.5,0
194,24830,1142,397,1,202.5,0
195,5494,882,199.5,3,2457,1
196,4736,1230,374,3,2028.5,0
197,28353,1152,441.5,3,4698.5,0
198,22007,1276,,3,2468.5,0
199,11576,1010,385,13,1532.5,1
200,25640,1022,265.5,1,1522,1
201,13042,1106,425,3,1763.5,0
202,14625,1238,293.5,3,1771.5,0
203,17116,1032,344,5,4217.5,0
204,21554,1106,425,1,1050.5,0
205,15607,1202,462.5,1,1383,0
206,2943,1168,385.5,1,4014,0
207,11357,1160,325,3,994.5,0
208,26058,1142,371,3,4443.5,0
209,18909,1106,,3,2512.5,0
210,8757,1106,,1,4510.5,0
211,9309,1138,,1,4690.5,0
212,24987,1254,391.5,1,4062.5,0
213,6411,1122,372,3,1490.5,0
214,10053,938,248,3,1905,1
215,15582,1124,452.5,3,4814.5,0
216,3789,1038,350.5,1,2385.5,0
217,2899,1378,403.5,3,2072.5,0
218,21562,1134,,1,2047,0
219,23484,1262,464.5,1,3913,0
220,14522,1350,380.5,1,3366,0
221,3050,1156,316,3,3893,1
222,15818,986,347.5,1,239.5,0
223,6735,860,233,3,3095,0
224,2245,1192,291.5,7,900.5,0
225,22559,1106,462,1,1167,0
226,13195,1238,445.5,1,3550,0
227,4281,1010,398.5,3,1819.5,0
228,23980,968,360,1,3294,1
229,20982,1106,,1,189.5,0
230,18017,1106,497.5,1,4172.5,0
231,5385,1142,,1,3280.5,0
232,4469,1024,353,13,4657.5,1
233,1841,1220,485.5,1,1041,0
234,8632,1252,400,5,4425.5,0
235,21673,1074,,1,234,0
236,2346,1218,419,3,641.5,0
237,21006,1276,473,1,3205,0
238,26251,1106,,1,3750.5,0
239,4270,988,,1,4801.5,0
240,22596,1306,425.5,1,4078.5,0
241,13625,1344,,1,914.5,0
242,24774,1106,310,7,3653,1
243,8783,1106,,3,4320.5,0
244,21302,916,224.5,5,881.5,1
245,20330,1186,380,1,2245,0
246,25517,908,380,3,1348,0
247,7032,1126,327,11,3604,0
248,25646,1106,,1,3736,0
249,12502,1132,367,3,2884,0
250,18575,1092,347,1,147.5,1
251,22688,832,257,3,3758,1
252,23527,1106,,7,3431,0
253,16375,1106,432,1,3806.5,0
254,11831,1106,419,5,4326.5,1
255,13288,1190,383,7,965,1
256,9706,1132,423.5,1,555,0
257,11303,1002,387.5,3,365,0
258,9975,1306,479,1,4323,0
259,25018,1252,,1,403,0
260,29033,1092,280,7,3123.5,1
261,5552,1106,,1,4291.5,0
262,28523,1214,417,3,768.5,0
263,13624,1106,,1,2334,0
264,18596,1106,,9,3952.5,0
265,10849,1162,330.5,1,3867.5,0
266,6876,1282,406,1,2063,0
267,20047,1054,389,5,2555.5,0
268,20047,1032,211.5,7,830.5,1
269,14389,1236,357,9,3065.5,0
270,16589,1158,437.5,5,4014,0
271,27109,1382,447.5,1,2897.5,0
272,4214,1444,,1,4992.5,0
273,29123,908,172.5,5,1582.5,1
274,27889,1156,286,1,2522,0
275,27831,1106,266.5,1,3335.5,1
276,26537,1106,473,1,1688,0
277,2785,1340,430.5,5,909,0
278,12488,1066,411.5,3,2571,0
279,13697,1106,,1,4059.5,0
280,9285,602,62,11,1543,1
281,9479,874,374,7,844.5,0
282,19626,1220,427,3,4322,0
283,9027,1048,424.5,1,3383,0
284,22060,1114,385.5,3,1001,0
285,1535,1188,368.5,1,1711.5,0
286,27067,1148,482.5,1,3781,0
287,20220,1222,462,3,3765.5,0
288,23538,1262,410,1,2982,0
289,24857,1058,316.5,5,3879.5,0
290,22643,1204,132.5,3,2355,1
291,25284,998,,1,1736.5,0
292,23573,1182,430.5,1,3061.5,0
293,24074,992,273,5,3587,0
294,9320,1098,355.5,7,3694,0
295,27887,1110,304,1,1725,0
296,6230,1046,416.5,13,2334,0
297,14625,1450,485.5,3,1380.5,0
298,21499,1264,,1,4416,0
299,10674,672,327,5,279,1
300,20667,1106,,5,743,0
301,19710,1106,,1,4446,0
302,2577,1022,318,5,822,0
303,21230,1106,,1,2681.5,0
304,5334,1206,,1,1634,0
305,29909,1306,380.5,3,1579.5,0
306,18540,1106,472,1,2723,0
307,12725,1074,362.5,3,1635.5,0
308,2283,1368,359.5,3,2291.5,0
309,5853,952,316.5,7,3179,1
310,18318,922,424.5,11,4901.5,0
311,5215,1174,336,1,1135.5,0
312,5405,982,,1,669.5,0
313,2176,882,376,7,4989,0
314,29733,1096,344,3,1804,1
315,3821,1012,361.5,1,2958.5,0
316,22520,1106,400.5,1,4562,0
317,19319,1106,482.5,1,4745.5,0
318,20164,930,321.5,9,3175.5,1
319,7519,788,328,15,4475.5,0
320,9132,1076,371,1,3885,0
321,18956,1222,364,1,3516.5,0
322,22637,1104,424.5,5,2827.5,0
323,13603,728,118.5,21,2597.5,1
324,26806,1174,389.5,1,4465.5,0
325,10413,1176,475.5,1,4259.5,0
326,18741,1272,473,5,551,0
327,23048,1106,,3,2546.5,0
328,13947,1054,362.5,3,1359,0
329,7892,1106,,1,4042,1
330,16307,1318,406,5,4607,0
331,23376,1224,411.5,3,3056,0
332,19914,1246,239.5,9,1738.5,0
333,25098,1106,,5,2043.5,0
334,3309,1216,401.5,1,3475.5,0
335,9726,1024,404,5,959.5,0
336,29547,1046,362,5,2702.5,1
337,10749,1168,426,1,2163.5,0
338,22630,1130,394.5,3,4180.5,0
339,21749,1248,328,3,2889.5,0
340,12703,1070,400.5,3,4627.5,0
341,7648,1448,452.5,1,138,0
342,8397,1070,485.5,3,2357,0
343,27561,1106,364,3,4683.5,0
344,25371,1294,,3,2254.5,0
345,19104,1106,357,1,4926.5,0
346,20720,1106,,1,455,0
347,18956,1106,,3,2163,0
348,10543,984,383,25,3799.5,1
349,1098,1106,,1,3358.5,0
350,8906,1064,449,3,3972.5,0
351,27290,1010,270,1,3527,0
352,22666,824,371,3,147,0
353,10237,1246,475.5,1,2927.5,0
354,12167,1290,391.5,7,3480.5,0
355,13276,1388,310,7,691,1
356,28006,1106,,1,1523,0
357,14187,942,272,3,713.5,1
358,17345,1276,465,1,875.5,0
359,13677,892,362,3,2771,0
360,12310,1190,344.5,9,289.5,0
361,27119,1408,430.5,1,1041.5,0
362,24251,810,304.5,21,4050.5,0
363,28064,1230,397,7,2339.5,0
364,1409,1012,442,5,2657.5,0
365,8301,1214,411.5,5,2817.5,0
366,7505,1036,285,3,2003.5,0
367,20692,1106,,1,230.5,0
368,11936,1106,,1,1584,0
369,25546,1220,411,1,4445,0
370,27704,908,292,5,3760,0
371,11821,1306,286,7,1652,1
372,17097,1340,435,3,2473.5,0
373,25795,1294,447.5,3,250.5,0
374,1906,1106,237.5,1,287.5,0
375,13826,1024,364,1,4335.5,0
376,12915,1386,462,3,533.5,0
377,22997,986,400.5,9,1443,0
378,18616,1348,385.5,1,2392,0
379,4729,1410,362.5,3,140,0
380,24348,1138,286,1,2024,1
381,9967,1328,449,5,204,0
382,10148,948,406,1,2570,1
383,14506,1106,,1,1766.5,1
384,27735,1018,,3,2073.5,1
385,9511,632,310,1,1305.5,1
386,5300,1110,330,5,3124.5,0
387,23956,1048,412.5,5,4946,0
388,23291,1106,391.5,1,1151,1
389,4030,1106,371,1,3607,0
390,24339,1254,405.5,1,368.5,0
391,16375,1132,330.5,3,3822.5,0
392,2019,1106,211.5,3,4779,1
393,13069,1106,,1,4683,1
394,9234,1106,,1,3173,1
395,10041,920,272,1,4995.5,1
396,7717,1106,268.5,15,2295.5,1
397,19900,952,326,1,2966,0
398,28751,1212,328,1,4083,0
399,10969,1284,482.5,1,3879.5,0
400,2050,1106,,7,730,0
401,5947,1238,377.5,3,3822.5,0
402,15413,1106,443,5,2078.5,1
403,3773,1384,328,5,777,0
404,4568,1030,419,1,4590.5,0
405,21986,840,197,3,608,0
406,23837,1232,413.5,1,4439.5,0
407,26990,1158,461.5,3,3281,0
408,18337,1440,419,1,4282,0
409,12254,1106,452.5,3,3704.5,0
410,11545,1150,328,3,3758,0
411,29679,1106,,1,4202.5,0
412,19792,1106,330.5,3,3619,1
413,16468,912,300.5,5,2642,1
414,7866,1106,,1,2034.5,0
415,17806,1106,452,1,4312,0
416,20469,1106,452.5,1,4614,0
417,10313,1450,406,1,3160,0
418,21287,1292,417,3,1077.5,0
419,3440,1106,465,1,4102.5,0
420,10382,1106,286.5,7,4475,1
421,23150,1106,476.5,3,4572,0
422,27511,1106,430.5,3,3059,0
423,26920,1076,271,11,574,1
424,21373,1136,320.5,5,235.5,0
425,16918,1236,382.5,5,4666.5,0
426,3110,1106,485.5,1,2749.5,0
427,15492,1164,418.5,1,3422.5,0
428,24619,826,286,5,1300,0
429,25507,1010,325,3,3313,0
430,3696,924,341,1,2129,0
431,9783,1282,303.5,5,2841.5,1
432,12489,980,328,25,3495,0
433,10905,922,239.5,1,2462.5,0
434,6517,1046,262.5,5,420,1
435,11486,1106,473,1,2945,0
436,24391,1106,,1,3076,0
437,26649,904,352,3,1683,0
438,9512,1018,419,3,645,0
439,22528,1106,420,1,818.5,0
440,22682,1106,,1,3202,1
441,6076,1364,,1,780.5,0
442,27502,966,368.5,3,1045,0
443,7685,844,406,7,4609.5,0
444,2859,930,431.5,9,1704,0
445,26912,1106,378.5,1,514.5,0
446,7364,1014,339,1,4585,0
447,29278,1102,429.5,3,1104,0
448,27973,1146,407.5,1,4142,0
449,19380,1106,,1,3118.5,0
450,8965,1246,411,3,4795.5,0
451,12183,998,308.5,1,2117.5,0
452,18349,1144,451,1,565,1
453,5560,1186,379.5,13,4507,0
454,2544,976,357.5,11,1150.5,0
455,6760,1106,398.5,1,3791,0
456,16007,970,280,1,2844.5,0
457,8004,1106,,1,1404,0
458,12662,1080,,1,3921.5,0
459,5589,972,329,25,2260,1
460,28512,1208,456,1,4897.5,0
461,19434,1392,432,1,4114.5,0
462,19593,998,470.5,7,3339,1
463,15328,956,351,7,2590,1
464,9485,1094,280.5,1,2043.5,1
465,24252,1162,359.5,3,1929,0
466,11076,1106,,1,2106.5,1
467,3928,1104,,1,1116.5,0
468,26692,1268,332.5,1,2470.5,0
469,22142,1040,360,9,3372,0
470,5937,1162,358.5,3,3546,0
471,11409,1152,377.5,1,2786,0
472,8625,894,,5,2627.5,0
473,18802,1066,,1,1601.5,0
474,10038,1106,,1,1808.5,0
475,25647,774,239,27,3239,0
476,15499,1106,,1,704.5,1
477,5837,1106,,1,198,1
478,10895,1006,419,3,2004,0
479,2610,986,387.5,7,3360,0
480,29042,946,286,5,962.5,0
481,12889,1138,449.5,1,4101,0
482,22519,1106,,1,3230,0
483,18509,1106,,1,2857,0
484,10819,1106,,3,2358.5,0
485,1331,1086,350.5,3,1285.5,0
486,29646,1412,445.5,1,3066,0
487,20076,1412,289,7,4232,0
488,14516,1204,438,1,1599,0
489,29138,1072,360,7,3839.5,0
490,4327,1024,274,3,3055.5,0
491,6805,1022,423,3,4010.5,0
492,13318,1290,406,1,4870.5,0
493,19999,1106,,7,2994.5,0
494,24319,1294,422,11,2606,0
495,15372,1232,415.5,5,4669.5,0
496,15106,1086,256.5,7,3419.5,1
497,5407,1344,475.5,1,1251,0
498,28800,1106,451,3,1053,1
499,18111,1160,,15,1441,0
500,17967,1248,,1,1403,0
501,28956,1300,328,1,425.5,0
502,25613,1244,424.5,1,770.5,0
503,10209,826,330.5,11,1064.5,0
504,8768,1008,402,3,3805,0
505,10362,934,374,5,898.5,0
506,8433,1182,448.5,1,1035,0
507,2801,1082,419,1,2279.5,0
508,22288,1228,,1,4326.5,0
509,8548,1228,367,1,1716,0
510,19290,870,304.5,5,3162.5,1
511,25915,1106,437.5,1,1183.5,0
512,19076,1106,,1,4423.5,0
513,17343,1370,423.5,1,4137,0
514,6039,1114,437.5,9,3077.5,0
515,5518,894,288,3,1226,0
516,19750,1018,385,1,3623,0
517,8270,1244,411.5,1,2436,1
518,11521,1036,283.5,1,130.5,0
519,29887,946,445.5,3,4231.5,0
520,15451,1160,328,3,963,0
521,18475,1328,,1,4769.5,0
522,7295,1216,311.5,15,2948.5,0
523,24320,1182,385.5,3,3442.5,0
524,22182,1106,495,3,2498,0
525,12530,1250,341.5,5,3089.5,1
526,11190,1106,470.5,1,3073.5,1
527,8163,1424,483,1,1709.5,0
528,20863,1408,447,1,4782,0
529,6469,1106,,1,4347,0
530,11954,812,,1,1984,0
531,12285,1106,416.5,1,1610,0
532,6845,1106,,3,87.5,1
533,18744,1154,,1,3142,0
534,22147,786,391.5,5,2707,0
535,23929,1310,400.5,3,531,0
536,6319,986,306,5,2325,1
537,7879,1308,402.5,5,3880,0
538,4667,1164,412,1,3912.5,0
539,26267,1170,424.5,3,4882,0
540,4594,1384,,3,3199,0
541,10081,1122,257.5,3,4583.5,0
542,5200,1106,,9,3666.5,1
543,16890,1106,,1,2344,0
544,20575,1042,330.5,11,3172.5,0
545,1407,1078,362.5,1,4608.5,0
546,16724,996,362,7,1205.5,0
547,26480,1046,330.5,15,3556,1
548,27391,1106,362.5,5,1647,0
549,24730,1106,380,3,4891,0
550,18491,1106,503,3,4787.5,0
551,9741,698,332.5,3,3973.5,0
552,1510,1356,324.5,1,3748.5,1
553,8772,1106,,3,3887,0
554,2554,1230,425,1,2848,0
555,27367,1326,325,7,3115,1
556,14606,710,427,13,1748.5,0
557,13506,1006,277,1,2438,0
558,1217,1052,291,3,2654,1
559,15854,1002,310,5,3736.5,0
560,17594,1106,503,1,670.5,1
561,12589,1266,452.5,3,4380,0
562,28527,1204,413,3,4913.5,0
563,24221,1304,444,3,1419,0
564,24495,1432,343.5,3,2069,0
565,11167,1266,430.5,1,4213,0
566,17889,1178,472,1,2662,0
567,11725,1022,208.5,7,2464.5,1
568,7067,1106,,1,3549,1
569,13893,966,304,3,1672,0
570,5996,1342,435.5,1,3106,0
571,24329,1218,400.5,1,3314.5,0
572,9641,1106,271,3,2798,0
573,27003,1106,,1,3805.5,0
574,28420,1178,348,3,4097,0
575,12498,1162,309,3,4878,0
576,9522,1106,,1,3988.5,0
577,5181,860,,9,3860.5,1
578,13131,1106,,1,3496.5,0
579,12329,1116,,3,3041,0
580,2868,1322,464.5,3,2334,0
581,4015,1166,280,1,3508.5,0
582,12713,1200,360,13,3239,1
583,23231,846,325,7,3186,1
584,4879,1318,402.5,1,2978.5,0
585,10442,1162,403.5,3,3818.5,0
586,15968,1094,406,5,4588.5,0
587,17391,1106,,1,1088,0
588,26330,1106,,1,3039.5,0
589,28072,984,362,3,4067.5,0
590,17031,1242,,3,2565,0
591,5071,1106,,1,4540,0
592,26194,1176,355.5,1,4878,1
593,25650,1006,310,1,908,1
594,26987,1106,416,1,3942.5,0
595,2659,1106,362.5,5,934.5,0
596,6279,1084,331,1,4155.5,0
597,21225,1450,371,5,2162,0
598,5323,1236,359,1,396,0
599,26143,1266,,3,133.5,0
600,16790,930,383,9,115,0
601,12270,1114,424.5,1,4498,0
602,3024,1298,379.5,3,2970.5,0
603,15241,1392,473,3,3505,0
604,28016,1106,419,1,4588.5,0
605,27246,1322,,3,1936.5,0
606,17194,1128,347,9,1980,1
607,25935,1248,425.5,1,1001,0
608,10026,1106,304.5,7,791.5,1
609,19267,936,,5,3734.5,0
610,1630,1106,385.5,3,2600,0
611,4892,1292,359,3,1938,0
612,3756,1126,377,3,2633.5,0
613,16621,1252,482.5,1,857.5,0
614,1490,1106,,1,2892.5,0
615,19282,1132,395.5,3,4754,1
616,13110,1268,374,3,2350.5,0
617,17771,1106,,1,3801,1
618,29905,1210,400,5,2612.5,0
619,6587,778,245,1,4980.5,0
620,8986,828,316,11,4228.5,1
621,10147,1322,385.5,1,4577,0
622,21902,1106,429,1,4182,0
623,28726,1166,415,1,433,0
624,20320,1288,451,3,2563,0
625,3229,1068,197.5,1,4734,0
626,21051,1106,,1,1167.5,1
627,4587,1052,359.5,1,2603.5,0
628,17804,1156,422,3,2728.5,1
629,25796,1338,450.5,1,2225.5,0
630,8841,972,,1,1457,0
631,20792,1106,482,1,1177.5,0
632,11688,980,264.5,3,4748,1
633,23882,1194,325,9,2842.5,0
634,15673,1156,377,1,1299,0
635,29632,1300,422.5,1,4177,0
636,1649,1032,328,21,1994.5,0
637,19939,958,247,9,2132.5,1
638,27307,1220,,3,2752,0
639,24381,1226,406.5,5,1154.5,0
640,5978,730,316,29,1775.5,1
641,18606,1222,359,3,1233.5,0
642,19982,1108,387,5,492,0
643,29174,844,143.5,1,2189.5,1
644,7772,1178,376.5,1,3490,0
645,21634,1396,359.5,3,3840.5,0
646,12267,1006,268.5,1,3163,0
647,26572,1230,,25,2753.5,1
648,14427,1106,482,1,1503,1
649,18295,1220,406.5,3,611,0
650,21279,1118,291.5,1,811.5,1
651,18449,1122,423.5,1,4756,0
652,23346,998,370,3,4120,0
653,26291,1074,417,1,2589,0
654,18105,1016,,1,295,0
655,8566,1186,419,3,2137.5,0
656,1503,1234,377.5,1,2198,0
657,24554,956,327,5,2346,1
658,20562,1106,,1,1421,0
659,2253,994,304.5,19,539,1
660,29215,1180,335.5,5,4735,0
661,16501,1142,,1,4086.5,0
662,16347,824,409.5,9,4127.5,0
663,19011,1106,503,3,930.5,0
664,23254,1156,403.5,3,1987.5,0
665,8258,1010,384,1,697.5,0
666,26468,1160,247.5,3,3809,0
667,27727,880,334,1,4294.5,0
668,24065,1228,404,1,4103,0
669,24294,890,250.5,7,1584,0
670,14566,1106,,1,2250,0
671,16188,1106,402.5,1,4171,0
672,15071,994,274,3,3130.5,0
673,11905,1180,328,5,975.5,0
674,10280,852,295.5,3,2248.5,1
675,14829,986,317.5,5,1088.5,0
676,15881,1106,268.5,3,2716,0
677,16155,1106,404,3,4557,0
678,8296,1138,441.5,7,1472.5,0
679,9145,1416,307.5,1,1149,0
680,19908,1332,417,1,2974,0
681,15361,1106,,1,3454.5,1
682,11106,978,307.5,3,1149.5,1
683,4599,1360,503,7,4014,1
684,29755,1106,,1,3498.5,0
685,3146,1434,451,3,2491.5,0
686,10744,1106,,1,26,0
687,7633,986,424.5,5,4870,0
688,25413,1106,,1,984.5,0
689,12320,1120,419,5,284.5,0
690,10324,1120,410,3,3283.5,0
691,28323,1032,283,3,3492.5,0
692,15901,1106,,1,1909.5,0
693,11609,1248,368.5,1,4814,0
694,13414,1064,404,7,3628.5,1
695,7758,1096,,3,3722.5,1
696,16536,1106,482.5,3,1593.5,0
697,5565,1006,366,1,927,0
698,17850,1328,,3,1579.5,0
699,7157,1344,415.5,1,2084.5,0
700,27758,1450,419,1,4924.5,0
701,14622,1376,385.5,5,1003,0
702,21281,838,332.5,3,4226,0
703,28241,1338,383,1,2603.5,0
704,11802,1114,374,5,2843.5,0
705,14751,1122,375.5,1,2265.5,0
706,4414,1048,234.5,11,1970,0
707,3237,1028,411,13,2166,0
708,29421,1138,325,1,351.5,0
709,27307,1090,349.5,5,2963,0
710,25374,1078,482.5,1,2919.5,0
711,5138,1300,432,1,456.5,0
712,28250,1106,,1,4169,0
713,1073,1052,,5,3150.5,0
714,1845,1240,,1,4927.5,0
715,24276,1226,467.5,1,1125.5,0
716,8248,1116,447.5,1,4212,0
717,1102,878,304.5,3,499,0
718,12295,1106,,1,2781,1
719,8327,1106,,1,4344,0
720,29554,1014,376,5,3101,0
721,2740,960,398.5,5,4134,0
722,28793,1022,,7,3046,0
723,18766,1106,391.5,5,1281,0
724,21829,1106,,1,4780,0
725,27918,1190,434.5,3,834.5,0
726,15798,1242,485.5,3,1545.5,0
727,29677,1008,330.5,5,2478.5,0
728,13760,898,299.5,5,1417.5,0
729,29717,1170,347,5,4264,0
730,20585,1116,295,9,786,1
731,13499,1106,484.5,7,1502.5,0
732,2030,1178,360,9,4686,0
733,15066,1280,386,1,2284.5,0
734,22026,1106,,1,2717.5,0
735,29930,1120,383,13,2661.5,0
736,5121,1014,446.5,1,231.5,0
737,25657,910,,11,3826.5,0
738,18040,1106,441.5,1,4015.5,1
739,11985,1106,,1,3188.5,0
740,5862,1106,,1,3225.5,0
741,5888,880,411.5,7,606.5,0
742,23357,1106,,1,1851,0
743,29766,1156,445.5,1,3649.5,1
744,12925,1106,,1,4502.5,0
745,21912,1376,,5,1260.5,0
746,6069,868,223.5,3,4143.5,0
747,16319,1106,,1,2832,0
748,25079,1436,359.5,3,1067,0
749,26408,1384,421.5,3,3127,0
750,14235,1110,368.5,3,4461,0
751,8236,704,,5,4465,0
752,1901,1054,328,7,4209.5,1
753,4768,1196,397,1,4229.5,0
754,8613,1322,344.5,1,572.5,0
755,10708,796,325,5,1804,1
756,17575,1036,394.5,5,333,1
757,6094,936,380.5,3,4722,0
758,22643,1106,,1,4884.5,1
759,26160,1366,376,1,2192,0
760,14501,740,243,15,458.5,1
761,22228,714,295.5,11,3987,1
762,22219,1162,430.5,3,4495.5,1
